400, PA5-E-Debug-Output.txt
 -112.6304,   140.0262,   -40.3412,     2.5057,   -88.4503,    11.6892
  -43.9336    -9.6240   -39.9897   -44.0787    -9.5758   -39.7606     0.2755
   13.2607    20.1176   -25.1216    12.9949    20.4639   -24.9930     0.4551
   -6.5256   -12.5751     0.1128    -6.4005   -12.6176     0.0978     0.1330
  -39.6820   -11.4688   -45.2575   -39.8419   -11.3433   -45.0739     0.2739
  -28.5352   -24.5410   -13.8502   -28.4075   -24.6243   -13.8350     0.1532
  -20.1529    -0.8003    -3.6393   -20.1456    -0.9014    -3.4681     0.1990
  -39.0565   -15.5152   -45.9586   -39.1890   -15.3811   -45.8142     0.2375
   -5.6874    -8.4904    40.5295    -5.3586    -8.8881    40.5637     0.5170
   25.7598    14.7496     8.1011    25.7333    14.8848     8.1198     0.1391
  -44.1614   -21.6390   -25.6231   -44.1306   -21.7283   -25.4892     0.1639
  -37.0504    -5.2712   -13.8709   -37.0747    -5.4055   -13.6357     0.2720
  -14.9603     4.0185    -0.6973   -14.9710     3.9313    -0.5161     0.2013
  -43.9481   -19.2289   -33.2182   -43.9799   -19.2470   -33.0685     0.1541
    4.3242    12.9171   -17.8458     4.1527    13.1291   -17.7189     0.3007
  -35.3746   -12.7846   -10.5277   -35.3209   -12.9410   -10.3662     0.2311
   25.5364    17.0940   -10.7089    25.3825    17.3981   -10.6775     0.3423
   -2.4222    -4.4852   -27.0340    -2.5156    -4.2492   -27.0184     0.2542
  -37.1011   -16.2375   -46.3875   -37.2298   -16.0858   -46.2619     0.2353
  -10.4868   -19.8468   -38.9805   -10.5343   -19.5706   -39.0517     0.2892
   22.7041     9.2822    27.7191    22.8325     9.2158    27.7196     0.1446
   17.2035    21.1171   -10.5148    17.0165    21.3612   -10.3957     0.3298
  -21.2985   -11.7991   -49.8909   -21.4756   -11.4986   -49.8292     0.3541
   16.1543   -12.5498    -3.4360    16.2674   -12.3957    -3.5967     0.2497
  -34.3760   -28.7173   -21.9336   -34.2654   -28.7726   -21.9211     0.1243
   22.9366     5.2029    32.0187    23.1215     5.0973    31.9846     0.2157
   -2.2200     7.2418   -14.4117    -2.3303     7.3722   -14.2904     0.2095
  -12.3459   -22.7576   -42.1979   -12.3904   -22.4675   -42.2839     0.3058
   16.4717    -9.3918   -26.6384    16.4258    -9.0250   -26.7851     0.3977
  -11.1237     5.4486    45.8890   -10.8733     4.9711    46.0804     0.5721
   31.0310     9.4076   -11.2232    30.9355     9.7519   -11.2932     0.3641
  -30.4356   -14.5060   -10.8902   -30.3688   -14.6242   -10.7751     0.1780
   20.6353    18.4517   -21.2526    20.4078    18.8159   -21.1834     0.4349
   23.6057     6.3942   -29.4182    23.4248     6.8466   -29.4756     0.4906
  -27.6660    -2.3799   -47.7161   -27.9055    -2.1400   -47.5317     0.3859
   25.5215    15.5916     7.2013    25.4832    15.7337     7.2284     0.1496
    8.0677    -7.6434    58.0558     8.4971    -8.0983    58.0182     0.6267
   21.6605    19.7643    -7.6090    21.5025    20.0139    -7.5284     0.3062
   14.0963   -17.0920   -11.9703    14.1940   -16.8787   -12.1612     0.3025
   -1.9521    -6.7635    63.8353    -1.4998    -7.3426    63.8717     0.7357
  -23.4050     2.1432   -16.5370   -23.4966     2.1361   -16.3259     0.2302
   -8.9550     0.5526    51.4180    -8.6339     0.0384    51.5560     0.6217
  -27.6147     7.1901   -36.2031   -27.8611     7.3322   -35.9311     0.3935
  -47.7297   -11.1982   -27.7196   -47.7929   -11.2887   -27.4740     0.2692
  -38.8322    -5.1685   -14.8438   -38.8636    -5.3068   -14.5968     0.2849
  -30.7986    -5.9636   -47.8513   -31.0125    -5.7473   -47.6780     0.3502
  -44.4142   -18.3864   -31.2899   -44.4415   -18.4247   -31.1291     0.1676
  -33.0432   -26.0563   -42.6447   -33.0729   -25.9143   -42.6277     0.1461
   -3.6490    15.0803    -3.0803    -3.7545    15.1028    -2.8770     0.2301
  -30.8779   -30.8563   -26.0456   -30.7734   -30.8505   -26.0758     0.1090
  -39.7211     0.7169   -38.2539   -39.9342     0.7860   -37.9617     0.3682
   -4.6898    13.4580    65.1156    -4.3869    12.8588    65.3442     0.7093
    0.8177   -15.4285   -15.7173     0.8756   -15.2769   -15.8112     0.1875
  -10.2783     5.1529    49.3801   -10.0050     4.6500    49.5652     0.6015
   14.8415   -14.0196    -5.3965    14.9540   -13.8583    -5.5625     0.2574
    3.4960    21.5703    -3.4685     3.3411    21.6518    -3.2549     0.2762
  -37.8961   -14.0097   -47.3298   -38.0477   -13.8540   -47.1804     0.2637
  -13.1985   -23.5186   -19.5091   -13.1057   -23.4391   -19.5854     0.1440
  -13.0572    10.4622    17.4017   -13.0117    10.2296    17.6348     0.3324
  -39.2802   -25.9391   -35.7693   -39.2733   -25.9041   -35.7083     0.0707
  -45.3483    -8.6448   -20.9482   -45.3909    -8.7775   -20.6925     0.2911
   20.6241     9.0607    51.2775    20.8902     8.7672    51.3006     0.3969
   -6.2377    -3.7459    56.9803    -5.8501    -4.2928    57.0667     0.6758
   21.0673     3.2290    43.3480    21.3325     3.0068    43.3143     0.3476
    9.7756    -1.1638    66.1632    10.2028    -1.6756    66.1744     0.6668
   28.4359    -7.3511   -11.5881    28.4664    -7.0316   -11.7861     0.3770
   18.3039     5.4819    65.6137    18.6800     5.0406    65.6276     0.5800
   19.7807    -6.3666    19.6848    19.9819    -6.3907    19.5653     0.2352
  -42.4459    -2.4314   -37.8199   -42.6332    -2.3878   -37.5373     0.3419
  -45.0491   -19.4648   -31.0053   -45.0666   -19.5109   -30.8496     0.1633
  -17.5424     3.6877   -15.7354   -17.6390     3.7169   -15.5479     0.2129
   -4.9605    16.7426    10.0978    -5.0027    16.6380    10.3301     0.2582
  -21.3150     1.3175   -14.2312   -21.3861     1.3044   -14.0394     0.2049
    3.8255   -11.4297   -25.8774     3.7948   -11.1627   -25.9609     0.2814
   -6.4360   -17.8065   -16.9088    -6.3695   -17.6981   -16.9777     0.1446
  -31.2665   -29.9018   -36.4743   -31.2300   -29.8045   -36.4988     0.1067
    1.5802    -7.7317   -26.6137     1.5159    -7.4723   -26.6514     0.2699
   21.1761    17.0820     9.7804    21.1395    17.1701     9.8492     0.1177
    3.2974    10.7392   -13.3176     3.1687    10.9018   -13.2007     0.2381
    2.5109    17.6646    23.8828     2.5445    17.4908    24.0821     0.2666
  -12.5374    10.0270    16.3034   -12.4948     9.8079    16.5290     0.3174
  -33.8898   -29.8605   -29.0122   -33.8113   -29.8494   -29.0160     0.0794
   36.2440     3.1140    -8.6689    36.2138     3.4697    -8.8250     0.3896
  -10.0412   -22.3755   -28.3965   -10.0076   -22.1926   -28.4873     0.2069
   26.7251    12.7815   -14.7320    26.5815    13.1280   -14.7472     0.3754
  -19.0034     3.1725    24.4135   -18.8634     2.8296    24.6250     0.4265
  -46.3617   -19.6172   -28.3679   -46.3632   -19.6967   -28.2039     0.1822
    6.8269    10.1044   -27.1527     6.6240    10.4167   -27.0704     0.3814
   -4.5990    -9.7639   -32.1781    -4.6824    -9.5005   -32.1966     0.2770
   -7.6279   -14.0851   -39.8611    -7.7238   -13.7770   -39.9013     0.3252
   35.2871     1.5784     0.4244    35.3212     1.8445     0.2655     0.3118
  -10.9234    10.6625    12.1107   -10.9094    10.4931    12.3295     0.2770
   15.9092    -9.9015   -26.5798    15.8674    -9.5396   -26.7273     0.3930
  -40.9624   -21.2542   -18.7667   -40.8935   -21.3817   -18.6465     0.1883
   -1.4943    -6.8865    67.2111    -1.0213    -7.4928    67.2452     0.7697
   15.4997    20.8564   -18.1962    15.2693    21.1571   -18.0722     0.3986
  -16.7473    -0.9172   -44.9532   -16.9778    -0.6221   -44.8244     0.3960
  -12.5634   -17.3783   -11.6216   -12.4718   -17.3618   -11.6452     0.0960
  -20.8072   -31.6043   -30.0402   -20.7162   -31.4899   -30.1428     0.1786
   22.8272     0.6922    33.0335    23.0527     0.5741    32.9618     0.2645
  -29.4978     7.2855   -32.4366   -29.7237     7.3801   -32.1501     0.3770
   14.7715    -6.4882    29.6422    15.0295    -6.6383    29.5582     0.3101
  -33.1131    -5.5210   -14.6384   -33.1384    -5.6199   -14.4306     0.2315
  -19.6726     2.4594   -14.6659   -19.7543     2.4628   -14.4750     0.2078
    2.7705     5.2179   -16.4863     2.6657     5.4021   -16.4151     0.2236
  -45.2235    -5.1776   -35.9956   -45.3802    -5.1721   -35.7181     0.3187
  -13.0556     4.0586   -22.4813   -13.1925     4.1811   -22.3223     0.2429
   17.3454    13.8614   -29.3693    17.1048    14.2721   -29.3225     0.4783
  -39.3269    -9.7969   -44.9752   -39.4979    -9.6705   -44.7793     0.2892
  -20.0533     5.7822   -22.6297   -20.2070     5.8563   -22.4115     0.2770
   -0.5611   -12.8582    -3.9500    -0.4551   -12.8210    -4.0074     0.1261
   21.4871    10.6680    32.7439    21.6335    10.5484    32.7666     0.1905
  -17.0493   -29.8573   -31.2943   -16.9775   -29.7034   -31.4063     0.2034
    8.3639    18.7921    12.5489     8.3253    18.7633    12.7153     0.1732
    6.0982    -8.1070    63.9281     6.5645    -8.6293    63.9017     0.7007
    6.5549    18.2130    22.3705     6.5771    18.0824    22.5481     0.2215
  -14.1712    -5.3776    15.6842   -14.0141    -5.6116    15.7872     0.3001
   14.3112    18.8349   -27.2750    14.0432    19.2074   -27.1652     0.4719
  -34.3963    -7.8636   -47.2257   -34.5934    -7.6800   -47.0456     0.3240
   25.2402     2.8263    23.5302    25.3950     2.8124    23.4570     0.1718
    9.7767    20.8217   -16.5937     9.5537    21.0665   -16.4328     0.3681
    5.7308   -15.5590   -17.1573     5.7834   -15.3589   -17.2843     0.2428
  -17.8035    11.3707    24.7061   -17.7245    11.0385    24.9808     0.4382
  -38.1091   -22.4198   -16.0311   -38.0142   -22.5518   -15.9378     0.1875
   17.2374     4.4134   -33.4479    17.0459     4.8547   -33.4838     0.4824
   -5.1740   -12.5342     6.7659    -5.0100   -12.6267     6.7458     0.1893
  -35.4803   -26.8647   -39.9765   -35.4892   -26.7648   -39.9497     0.1038
  -30.8876     6.1420   -22.4734   -31.0474     6.1362   -22.1831     0.3314
   17.7513    20.5762    -2.4817    17.6153    20.7517    -2.3668     0.2500
  -30.4412   -25.0103   -44.4125   -30.4882   -24.8329   -44.4038     0.1837
   23.0023    -4.9774    20.3463    23.1979    -4.9833    20.2186     0.2337
