400, PA5-F-Debug-Output.txt
  -10.3658,    11.3366,    -3.7205,    -4.5358,    -6.7626,    -3.2128
  -12.9622   -12.9187     1.2972   -12.9519   -12.9100     1.3358     0.0408
   21.7515     1.2748    62.6593    22.0252     1.2440    62.5660     0.2908
   32.1375    16.9611   -20.0233    32.0444    17.0109   -20.1570     0.1703
   15.6912    20.4213   -19.4458    15.5970    20.4628   -19.5046     0.1185
   -1.2661    18.8373     3.7383    -1.2604    18.8495     3.7544     0.0210
  -40.1020    -3.5729   -19.0205   -40.1878    -3.5585   -18.8577     0.1846
   12.2028    -6.9839    48.5924    12.4186    -7.0065    48.5318     0.2252
  -17.3181    -2.2348     6.4056   -17.2915    -2.2328     6.4732     0.0726
   16.6802    11.4006   -32.0167    16.5361    11.4540   -32.0893     0.1699
    5.5095    13.0180   -14.9029     5.4379    13.0505   -14.9235     0.0813
   10.9840    -7.6454    41.9220    11.1709    -7.6625    41.8654     0.1961
   17.9114    19.3629   -26.4168    17.7878    19.4118   -26.4871     0.1504
  -29.8215   -30.4211   -26.8912   -29.9265   -30.3948   -26.7979     0.1429
   -3.0959    18.2114    41.6104    -2.9253    18.1881    41.6381     0.1744
   -8.9394     5.9041    44.5851    -8.7501     5.8752    44.6276     0.1962
   19.1691    20.2265   -23.4857    19.0578    20.2733   -23.5603     0.1419
    8.5618    12.9375   -16.5330     8.4834    12.9729   -16.5672     0.0925
  -42.6463   -14.8122   -20.4831   -42.7329   -14.7977   -20.3193     0.1858
  -10.2105    -8.8077    27.8795   -10.0863    -8.8220    27.9126     0.1293
    6.9105    -9.6026   -23.6809     6.8126    -9.5616   -23.7287     0.1164
   17.8774    22.3674     1.2755    17.8726    22.3909     1.2111     0.0687
  -33.2464   -27.3840   -16.5842   -33.3085   -27.3687   -16.4722     0.1290
   -0.6572     0.2238   -24.6747    -0.7653     0.2621   -24.6810     0.1149
   22.6929     9.4734    62.7106    22.9627     9.4430    62.6205     0.2860
   10.8410    20.2323    32.9319    10.9743    20.2236    32.8997     0.1374
   35.7534    17.5536     8.8760    35.7861    17.5787     8.7303     0.1514
   10.8987    -7.0835    51.7387    11.1281    -7.1096    51.6840     0.2372
  -17.7687   -28.6128   -37.1077   -17.9178   -28.5714   -37.0664     0.1602
   25.8689    12.7630    38.6122    26.0325    12.7561    38.5086     0.1937
  -12.4258   -14.9638    -3.3421   -12.4345   -14.9506    -3.3083     0.0374
   23.8367   -11.2999   -21.4444    23.7512   -11.2529   -21.5672     0.1568
   11.8217    -6.5660    63.5508    12.1023    -6.6024    63.4939     0.2886
   23.9852    -4.1643   -23.8057    23.8858    -4.1150   -23.9230     0.1615
   42.9489    -1.4090    12.3767    43.0075    -1.3837    12.1832     0.2038
  -18.2213   -12.7120    -1.1662   -18.2224   -12.7036    -1.1048     0.0619
   20.7352    21.4616   -18.6263    20.6447    21.5047   -18.7061     0.1282
  -20.8711     5.7275   -28.3042   -21.0000     5.7596   -28.2178     0.1585
  -20.5582   -26.4000   -39.8159   -20.7205   -26.3575   -39.7608     0.1766
  -22.8194     5.0322   -21.8733   -22.9203     5.0575   -21.7784     0.1408
   -8.8532     7.5114    46.4231    -8.6567     7.4809    46.4669     0.2036
    7.8626   -15.6976    -5.2314     7.8483   -15.6730    -5.2867     0.0622
   17.6587    -1.1755   -21.5407    17.5669    -1.1313   -21.6276     0.1339
    4.1390    22.8262     6.2874     4.1543    22.8387     6.2838     0.0201
   28.1380   -13.3887   -15.5933    28.0795   -13.3451   -15.7360     0.1603
   -1.5514   -17.7609   -14.0318    -1.6040   -17.7328   -14.0490     0.0621
   24.4261    -1.4292    46.5432    24.6314    -1.4440    46.4341     0.2329
    6.6092    19.6899    54.2818     6.8353    19.6597    54.2699     0.2284
   -7.4171    -9.8126    35.4193    -7.2593    -9.8325    35.4402     0.1604
   27.8707    -0.1695    35.2791    28.0266    -0.1724    35.1549     0.1994
  -18.4655    -7.5200     3.6956   -18.4481    -7.5161     3.7632     0.0699
   -2.2053    -0.8765   -25.8254    -2.3181    -0.8378   -25.8259     0.1192
  -19.6554     5.4099   -23.7435   -19.7642     5.4384   -23.6622     0.1388
   37.8048    11.7269    12.2969    37.8556    11.7498    12.1375     0.1689
   -0.8353   -13.3421     7.9006    -0.7947   -13.3337     7.8867     0.0437
   26.6504    -7.4796   -24.6650    26.5492    -7.4283   -24.7970     0.1741
   -4.2373    -4.4412   -40.1749    -4.4109    -4.3904   -40.1714     0.1809
    5.0778   -11.3724    12.2580     5.1370   -11.3651    12.2205     0.0704
  -21.5078     2.6144   -37.1722   -21.6738     2.6543   -37.0868     0.1909
   -9.5846     4.0260    43.2932    -9.4000     3.9980    43.3367     0.1918
   12.3527   -14.6804     5.0558    12.3830   -14.6631     4.9830     0.0808
  -20.0287   -13.7050   -43.6872   -20.2144   -13.6585   -43.6235     0.2017
   -9.2269    13.8186    36.2896    -9.0777    13.7972    36.3396     0.1587
   24.1719     3.2404    52.9894    24.4028     3.2196    52.8862     0.2537
  -43.1490    -9.5750   -31.1730   -43.2849    -9.5510   -31.0036     0.2185
   -7.3159     2.5808   -29.2522    -7.4459     2.6202   -29.2278     0.1380
   22.5058     0.5843    59.3367    22.7655     0.5569    59.2391     0.2787
   39.4365     1.8281    16.1994    39.5097     1.8482    16.0244     0.1907
   -8.1031    -8.2465   -41.4899    -8.2808    -8.1963   -41.4731     0.1854
   -3.4197    -7.6381    57.3606    -3.1671    -7.6761    57.3685     0.2555
    2.1267    -5.0216   -25.2498     2.0191    -4.9814   -25.2729     0.1172
   -2.9009    16.0737    57.6745    -2.6593    16.0358    57.7012     0.2461
  -32.6304   -28.9255   -26.1849   -32.7334   -28.9012   -26.0780     0.1505
  -35.5833    -1.5762   -15.1540   -35.6528    -1.5632   -15.0087     0.1617
  -24.9448    -5.3300   -42.6364   -25.1308    -5.2868   -42.5437     0.2123
   -6.3105    -9.6366    34.9323    -6.1548    -9.6555    34.9485     0.1577
   25.2530   -15.3628   -16.7531    25.1901   -15.3195   -16.8852     0.1525
    2.1137    -8.7861    51.5853     2.3423    -8.8162    51.5674     0.2313
   22.6074    15.6925    39.5054    22.7729    15.6833    39.4186     0.1871
   -9.6479   -19.9405   -39.9473    -9.8129   -19.8926   -39.9340     0.1724
   16.5441     7.4227   -21.3133    16.4487     7.4662   -21.3877     0.1286
  -28.8304   -30.1449   -18.5273   -28.8991   -30.1257   -18.4372     0.1149
   -7.8813   -27.1881   -32.7807    -8.0113   -27.1460   -32.7807     0.1366
    9.2091     8.4610   -14.7901     9.1407     8.4951   -14.8309     0.0866
  -36.4204    -4.6844   -14.1842   -36.4842    -4.6727   -14.0378     0.1601
   29.4367    -8.6982    13.4671    29.5023    -8.6805    13.3261     0.1566
    2.1074    18.5028    63.7051     2.3746    18.4618    63.7128     0.2704
    0.5623    -8.6113    55.9545     0.8097    -8.6461    55.9440     0.2500
    0.9222   -16.1521    -9.6269     0.8882   -16.1269    -9.6529     0.0497
   -5.7897    11.6321    64.0421    -5.5183    11.5869    64.0781     0.2774
  -20.9257   -20.2479    -7.4240   -20.9503   -20.2351    -7.3583     0.0714
  -23.3254     4.3705   -16.1300   -23.4009     4.3903   -16.0329     0.1247
   29.8839    -4.2097    25.1311    29.9980    -4.2024    24.9934     0.1790
   22.0829    14.9523   -32.5129    21.9355    15.0087   -32.6059     0.1833
  -14.1512     4.5663   -29.5282   -14.2842     4.6027   -29.4723     0.1488
  -37.5654   -17.6247   -11.8196   -37.6123   -17.6158   -11.6796     0.1480
   14.1364    -7.5236    31.2014    14.2769    -7.5293    31.1300     0.1578
  -19.4022    -2.0977   -40.8383   -19.5815    -2.0535   -40.7667     0.1980
