400, PA5-J-Unknown-Output.txt
   13.8920,   -10.7430,     7.1381,     8.8698,     2.7237,    -2.7372
   29.4279    -4.0648     1.1999    29.4346    -4.2313     1.2002     0.1666
  -24.0158   -20.3333    -6.4792   -24.1145   -20.1651    -6.5223     0.1997
    0.0823   -10.2687    16.0209     0.0495   -10.3004    16.0050     0.0483
   17.1287    21.9230    33.5372    17.2917    21.7502    33.6057     0.2472
  -28.9594     3.6709   -46.3120   -28.9207     3.9761   -46.2939     0.3082
    9.1783    -6.9460    50.0583     9.1704    -7.1195    50.0521     0.1738
   17.7248    19.6356    35.3927    17.8745    19.4540    35.4553     0.2435
  -25.5040    13.1727   -36.0352   -25.4071    13.4324   -35.9921     0.2805
  -32.4914     3.3123   -13.9638   -32.4516     3.5544   -13.9457     0.2461
  -34.0203   -10.6577    -7.6963   -34.0631   -10.4252    -7.7144     0.2371
   31.7743    -1.3602    -2.6036    31.7970    -1.5303    -2.5963     0.1718
   18.9528     2.9661    32.8749    19.0033     2.7809    32.8942     0.1930
    8.8446    -6.7854    45.0428     8.8370    -6.9438    45.0369     0.1587
  -21.5859   -27.5431   -48.0302   -21.7318   -27.2828   -48.0931     0.3050
   -2.2262     2.2670    41.7635    -2.1819     2.1844    41.7808     0.0953
   15.3844    21.7709    36.6551    15.5465    21.6004    36.7233     0.2450
  -22.1046   -28.0587    -9.9519   -22.2493   -27.8942   -10.0151     0.2280
   14.4323    20.7863    40.2180    14.5888    20.6120    40.2837     0.2433
   30.8862    -3.0992     1.7410    30.8990    -3.2756     1.7439     0.1769
    2.1447   -18.4466   -12.4282     2.0604   -18.4181   -12.4661     0.0967
  -22.9213    10.0432   -42.6333   -22.8434    10.3041   -42.5984     0.2745
    9.0311    -7.1303    28.2500     9.0196    -7.2464    28.2427     0.1168
    0.5174    -6.3181    33.4401     0.5101    -6.3969    33.4350     0.0793
   14.5023    20.9034    39.5373    14.6595    20.7304    39.6033     0.2428
  -19.5402   -10.4633   -53.5911   -19.5849   -10.1976   -53.6097     0.2700
   15.5028    26.8137     6.9313    15.6916    26.7205     7.0117     0.2254
   19.2974     2.3265   -27.9491    19.3373     2.2970   -27.9332     0.0521
   19.4079    -1.9604    21.2814    19.4279    -2.1191    21.2875     0.1601
   10.9731    21.7332    41.2795    11.1349    21.5769    41.3476     0.2351
   17.1059    26.0787    -1.0462    17.2896    25.9965    -0.9679     0.2160
   25.3425   -12.3931    -8.9194    25.2980   -12.5105    -8.9411     0.1274
   -1.9689     6.7809    62.1048    -1.8955     6.6448    62.1345     0.1575
   23.1064    14.6253    20.4530    23.2254    14.4497    20.5023     0.2178
   12.2594    12.0819    63.4257    12.3665    11.8588    63.4694     0.2514
   19.2941    18.5568    32.1795    19.4372    18.3740    32.2392     0.2397
    7.9478    21.5326    12.4491     8.1047    21.4691    12.5159     0.1820
   -3.7204    -1.3028    62.6051    -3.6953    -1.4312    62.6138     0.1311
  -15.1186    -8.6349     0.5142   -15.1457    -8.5357     0.5019     0.1036
    0.3496    11.0923    61.7621     0.4489    10.9441    61.8030     0.1831
   25.5293    -9.0556    -9.2188    25.5046    -9.1728    -9.2318     0.1204
  -32.5365   -22.5056    -8.6345   -32.6496   -22.2815    -8.6834     0.2557
  -20.1784   -33.8735   -18.3060   -20.3583   -33.6998   -18.3846     0.2622
  -18.1048   -15.8547   -53.0564   -18.1813   -15.5999   -53.0891     0.2680
   21.2042    -1.5203    17.7304    21.2267    -1.6803    17.7376     0.1618
   12.5043    25.5647   -12.8320    12.6830    25.5404   -12.7554     0.1959
    4.4453    22.8080    46.5844     4.6131    22.6769    46.6554     0.2245
   12.8946    23.0271    38.8425    13.0641    22.8659    38.9139     0.2446
    6.3911    19.5732    12.1330     6.5361    19.5194    12.1947     0.1665
   -2.6006    30.1903    39.5144    -2.3907    30.1207    39.6042     0.2387
   -9.2244    26.1690    29.9499    -9.0405    26.1629    30.0290     0.2003
  -43.6497   -13.0160   -38.3753   -43.7114   -12.6470   -38.4005     0.3750
   23.0847    -1.1311   -26.6540    23.1047    -1.1871   -26.6470     0.0599
   -3.0448     6.5641   -15.9188    -2.9816     6.6369   -15.8919     0.1001
   19.8785     3.9501    30.0388    19.9347     3.7669    30.0606     0.1929
   25.0874    -6.4702   -24.7932    25.0763    -6.5439   -24.8000     0.0748
   -8.2721   -20.4384    -8.3289    -8.3693   -20.3590    -8.3720     0.1327
   28.8627    11.9300    -1.2214    28.9641    11.7759    -1.1796     0.1891
  -31.8509    -8.0349   -51.0088   -31.8827    -7.7023   -51.0212     0.3343
