150, PA5-B-Debug-Output.txt
 -128.3913,   192.6320,   -63.3672,   -27.6947,    -6.9230,    -6.7149
   19.3950     1.9201   -32.1809    19.3737     1.9333   -32.1899     0.0267
   -5.8012    -5.3858    21.2016    -5.7844    -5.3914    21.2100     0.0196
  -30.6288    -0.4476   -46.9605   -30.6610    -0.4449   -46.9357     0.0407
   -7.8687     9.0196    -0.8614    -7.8713     9.0185    -0.8492     0.0125
  -45.9588   -18.2453   -36.9239   -45.9794   -18.2491   -36.8918     0.0383
  -11.2931     7.1396   -34.5818   -11.3185     7.1450   -34.5685     0.0291
   -1.9471    12.6692    -2.1725    -1.9516    12.6700    -2.1637     0.0099
  -26.4286     3.6905   -16.4920   -26.4409     3.6877   -16.4684     0.0268
   -1.6845    13.8048    49.7700    -1.6536    13.7942    49.7802     0.0342
  -30.9965   -29.3612   -20.2439   -31.0020   -29.3647   -20.2240     0.0210
  -38.0825     0.9195   -38.7317   -38.1096     0.9183   -38.7012     0.0408
    3.2722     9.8215   -20.9173     3.2558     9.8279   -20.9132     0.0180
   17.1775   -17.0409   -17.7530    17.1715   -17.0315   -17.7638     0.0155
  -25.6809    -7.0901   -50.4392   -25.7134    -7.0853   -50.4192     0.0385
  -34.8182     6.9641   -23.9730   -34.8368     6.9606   -23.9432     0.0354
   20.4507    16.0018    48.6078    20.4808    15.9975    48.6031     0.0308
  -31.1831   -11.5091   -49.0868   -31.2135   -11.5061   -49.0639     0.0382
   25.0824    13.9264   -23.6005    25.0636    13.9394   -23.6108     0.0250
    0.7156    11.3715   -24.0371     0.6966    11.3778   -24.0310     0.0209
  -31.1012   -18.5187   -48.5573   -31.1293   -18.5158   -48.5359     0.0354
  -31.8869   -24.9600   -16.0399   -31.8907   -24.9646   -16.0184     0.0224
   25.9976    -6.0389    35.0618    26.0250    -6.0388    35.0485     0.0304
   26.4765    -3.4978    63.3367    26.5225    -3.5038    63.3242     0.0481
   25.0065     9.1464   -29.3368    24.9852     9.1606   -29.3481     0.0280
   -2.8487    16.4979    39.9695    -2.8253    16.4891    39.9808     0.0274
  -34.4211    -6.3822   -12.3073   -34.4279    -6.3883   -12.2801     0.0287
   -6.9444    11.0752    40.9066    -6.9190    11.0651    40.9197     0.0304
    1.0072     4.9949   -13.4410     0.9974     4.9990   -13.4361     0.0117
    2.9725    -3.0787    45.7370     3.0057    -3.0873    45.7405     0.0344
  -32.4606    -8.0075   -11.8709   -32.4666    -8.0131   -11.8454     0.0268
   31.4918    -1.8075   -29.8995    31.4735    -1.7915   -29.9175     0.0303
   -5.8981   -23.6989   -18.4940    -5.9033   -23.6958   -18.4903     0.0071
   33.7223    -7.4111    -9.7976    33.7195    -7.3989    -9.8177     0.0237
   17.7388   -15.5481   -11.5789    17.7367   -15.5400   -11.5897     0.0137
  -18.6190   -27.1398   -45.4720   -18.6420   -27.1343   -45.4608     0.0262
   19.8364    20.3321    -0.8709    19.8312    20.3386    -0.8757     0.0096
  -35.0344   -25.5036   -40.7740   -35.0552   -25.5036   -40.7510     0.0310
   18.5213   -13.7300   -33.4478    18.5036   -13.7168   -33.4593     0.0249
  -11.2396     8.1717    31.6989   -11.2197     8.1624    31.7141     0.0267
   12.6779   -17.2991   -13.9202    12.6745   -17.2919   -13.9279     0.0111
   -4.7311    20.5022    22.4016    -4.7210    20.4968    22.4146     0.0173
    5.3790    16.8647    44.6995     5.4057    16.8572    44.7053     0.0284
   19.2618    -2.4776   -31.6440    19.2422    -2.4645   -31.6538     0.0255
    4.3013    -1.8908   -23.4510     4.2867    -1.8836   -23.4500     0.0163
